Category	Question	Choice-1	Choice-2	Choice-3	Choice-4	Answer
For-Kids	Aside from a bit of the person you wish to become, what are the other ingredients used to make Polyjuice Potion, as seen in the 2nd book of Harry Potter?	Lacewing flies, leeches, powdered bicorn horn, knotgrass, fluxweed, and boomslang skin	Porcupine quills, leeches, lacewing flies, valerian roots, and boomslang skin	Powdered dragon horn, moonstone, lacewing flies, boomslang skin, dried nettles, and valerian roots	Moonstone, lacewing flies, boomslang skin, dried nettles, knotgrass, and bubotuber pus	Lacewing flies, leeches, powdered bicorn horn, knotgrass, fluxweed, and boomslang skin
For-Kids	In the first task of the Triwizard Tournament (Harry Potter and the Goblet of Fire ), each champion has to fight a different breed of dragon.  Which dragon does Fleur Delacour face?	Swedish Short-Snout	Welsh Green	Hungarian Horntail	Chinese Fireball	Welsh Green
For-Kids	At Harry Potters trial during the 5th book, Madam Bones refers to Harrys patronus a corporal patronus.  What makes Harrys patronus corporal?	His patronus is strong enough to complete its intended task	His patronus is consistent enough to always have a defined shape to it	His patronus is so dependable that it becomes the same animal everytime	His patronus is so well developed it has a commanding presence whenever it is conjured	His patronus is consistent enough to always have a defined shape to it
For-Kids	Harry Potters Dudley Dursley has had many traumatic encounters with wizards.  Which of the following has not happened to him?	He gets a pigs tail	He breaks out in horrible zits	His tongue is enlarged to almost 4 feet	He gets attacted by dementors	He breaks out in horrible zits
For-Kids	In the Harry Potter books, Fred and George invented a lot of products for their store, Weasleys Wizard Wheezes.  Which of the following products was not one invited by Fred and George?	Self-Inking Quills	Fever Fudge	Coughing Cakes	Pygmy Puff	Coughing Cakes
For-Kids	In Harry Potter and the Prisoner of Azkaban, Hermione is given a time turner so she is able to make it to all of her extra classes.  Which of the following classes does she not take?	Arithmancy	Astronomy	Ancient Runes	Alchemy	Alchemy
For-Kids	Who was the last person Harry talked to in the book?	Hermoine	Ron	Dumbledore	Hagrid	Hermoine
For-Kids	What did the Dursleys send Harry for Christmas?	Nothing	An owl	A fifty pence piece	A sneak-o-scope	A fifty pence piece
For-Kids	Rons sisters name is?	Ginny	George	Ginger	Grace	Ginny
For-Kids	Hermoine broke her wrist when she fell off a broom.	True	False			False
For-Kids	Who is the poltergeist that lives at Hogwarts?	Pee-wee	Peeves	Pippy	Petry	Peeves
For-Kids	What type of candy did Dumbledore offer McGonagell?	Every Flavor Jellybeans	Lemon Drop	Cockroach Cluster	Mr. Goodbar	Lemon Drop
For-Kids	Dudleys gang consisted of Piers, dennis, Malcolm and Gordon.	False	True			True
For-Kids	What was the name of the Muggle school Harry was to attend?	Stonewall High	Yale	Stonebridge High	St. Brutus	Stonewall High
For-Kids	Where did Harry buy his wand?	Flourish Blotts	Ollivanders	J.C. Penneys	Madame Malkins	Ollivanders
For-Kids	Who breaks Harry Potters nose in Harry Potter and the Half-Blood Prince, the sixth novel in the series?	Proffesor Snape	Lucious Malfoy	Draco Malfoy	Lord Voldemort	Draco Malfoy
For-Kids	Does Draco Malfoy attempt to kill Dumbledore in the book Harry Potter and the Half-Blood Prince?	Yes	No			Yes
For-Kids	Initially Harry Potter and Ron did not like Hermione and considered her annoying, interfering and snobby.	False	True			True
For-Kids	Who does Harry Potter kiss in the book Harry Potter and the Half-Blood Prince, after Gryffindor wins the Quidditch Cup?	Nobody	Ginny Weasley	Cho Chang	Hermione Granger	Ginny Weasley
For-Kids	This fictional character suggests the name Dumbledores Army for the organization started by Harry, Hermione, and Ron in the book Harry Potter and the Order of the Phoenix.	Luna Lovegood	Marietta Edgecombe	Cho Chang	Ginny Weasly	Ginny Weasly
For-Kids	In which book of the Harry Potter series, Harry, Ron and Hermione start attending the Divination class, taught by Professor Trelawney?	Harry potter and the Order of the Phoniex	Harry Potter and the Half-Blood Prince	Harry Potter and the Chamber of Secrets	Harry Potter and the Prisoner of Azkaban	Harry Potter and the Prisoner of Azkaban
For-Kids	In what year did J.K. Rowling receive an OBE (Order of the British Empire) from the Queen of England?	1999	None of these	2000	2001	2000
For-Kids	Which of the following items cannot be found in a colonial classroom?	Quill pen	Fireplace	Crayon	Horn book	Crayon
For-Kids	Colonial people spend some of their free time doing which of these?	Skateboarding	Using a dishwasher	Reading McGuffey	Ordering pizza	Reading McGuffey
For-Kids	From age 12 to 21, American activist and politician Benjamin Franklin did what?	Went to school	Worked on his autobiography	Worked on many inventions, including electricity	Worked as an apprentice	Worked as an apprentice
For-Kids	In 1889, this person founded the Hull House, one of the first settlement houses in the U.S.	Jane Addams	Harriet Tubman	Betty Ross	Florence Nightingale	Jane Addams
For-Kids	Which of the following is a famous quote by John Paul Jones, the well-known American naval hero from the American Revolutionary War?	I have a dream.	Give me liberty or give me death.	I have not yet begun to fight.	I shall return.	I have not yet begun to fight.
For-Kids	Which of the following events is associated with Independence Day?	Emancipation Proclamation	Louisiana Purchase	Declaration of Independence	Boston Tea Party	Declaration of Independence
For-Kids	What year did Columbus first arrive on American land?	1588	1498	1600	1763	1498
For-Kids	You can see this animal around ant-hill. It is almost 6 feet long and it likes to eat ants.	Dolphin	Seal	Anteater	Kangaroo	Anteater
For-Kids	It is a big animal with brown fur and it likes eating fish and honey. It has 42 teeth.	Fox	Bear	Cheetah	Horse	Bear
For-Kids	This is a repulsive insect either black or brown. It can live a couple of weeks with its head cut off.	Ant	Fly	Cockroach	Grasshopper	Cockroach
For-Kids	This is a big and grey animal with wide ears and a trunk. It cannot hop.	Elephant	Rabbit	Bear	Horse	Elephant
For-Kids	This is a fluffy dog. It has a black-black or purple tongue.	Chow Chow	Pitbull	Hound	Setter	Chow Chow
For-Kids	This animal lives in Africa. It has a really long neck and eats leaves. It produces almost no sounds.	Giraffe	Elephant	Zebra	Camel	Giraffe
For-Kids	This animal is similar to a mouse but it is bigger. It can give birth to more than 160 babies in a year.	Cat	Anteater	Rat	Weasel	Rat
For-Kids	These animals are long and slim. They creep. Most of them can go an entire year without eating at all!	Snakes	Frogs	Fish	Eel	Snakes
For-Kids	These animals live in the sea. They are very friendly to humans. Although they resemble fish, they will drown if kept underwater for too long.	Mackerel	Dolphins	Salmon	Tuna fish	Dolphins
For-Kids	When this animal wants to defend itself, it throws a nasty smell toward its aggressor. This smell can be detected by a human a mile away.	Skunk	Turbot	Horse	Deer	Skunk
For-Kids	Which subject was Hermione not taking at 9am?	Divination	Arithmancy	Muggle Studies	Potions	Potions
For-Kids	How many people where at the dinner table before Professor Trelawney joined them?	None of these is correct	9	13	12	12
For-Kids	Who wrote A History of Magic?	Batgut Buckshot	Bathilda Baghide	Hilda Bagshot	Bathilda Bagshot	Bathilda Bagshot
For-Kids	Peter Pettigrew has his nose put in a box.	False	True			False
For-Kids	Who shot gum up Peeves left nostril?	Professor Lupin	The Bloody Baron	Harry	Professor Lockhart	Professor Lupin
For-Kids	Which pairing is not correct?	James - Antlers	Pettigrew - Wormtail	Lupin - Moony	Sirius - Padfoot	James - Antlers
For-Kids	What is the Minister of Magics name in book six?	Scrimgeour	Weasly	Umbridge	Fudge	Scrimgeour
For-Kids	Who is Tonks in love with?	no one	Bill	Lupin	Ron	Lupin
For-Kids	Who has the hots for Harry in the first half of the book?	Ginny	Luna	Romilda	Cho	Romilda
For-Kids	Which potion did Harry make to win a bottle of Liquid Luckin Chapter 9?	Veritaserum	Draught of Living Death	Draught of Death	Felix Felicis	Draught of Living Death
For-Kids	She is Tom Riddles mother.	Lily	Mekare	Jane	Merope	Merope
For-Kids	This was the password to the Griffindore Tower after Christmas break.	abysmal	caput draconis	abstinence	abstraction	abstinence
For-Kids	Who was not at Hermiones table in Herbology?	Neville	Ron	They all were	Harry	Neville
For-Kids	Tom Riddle worked for Florrish and Blott after he left Hogwarts.	False	True			False
For-Kids	Who is the author of the Harry Potter series of books?	J.R. Rolling	J.R. Tolkien	J.K. Rowling	Gilderoy Lockhart	J.K. Rowling
For-Kids	Harry Potter and the Chamber of Secrets, the second book in the Harry Potter series, was published in what year?	2000	1989	2001	1998	1998
For-Kids	In the book Harry Potter and the Chamber of Secrets, during the summer break Harry gets a visit from a character named Dobby. What kind of creature is Dobby?	a house dwarf	a house Imp	a house nymph	a house elf	a house elf
For-Kids	This fictional character, introduced in the book Harry Potter and the Chamber of Secrets, was teacher of the class called Defense Against the Dark Artsand five-time winner of Witch Weeklys Most Charming Smile Award.	Lupin	Stan Shunpike	Gilderoy Lockhart	Rowling	Gilderoy Lockhart
For-Kids	In the book Harry Potter and the Chamber of Secrets, Harry and Ron take a ride with the flying Ford Anglia and crash into what kind of tree?	a black willow tree	a whomping willow tree	a deadwood Tree	a weeping willow tree	a whomping willow tree
For-Kids	This fictional character from the book Harry Potter and the Chamber of Secrets is a ghost ,who haunts the second floor girls lavatory at Hogwarts School for Witchcraft and Wizardry.	Moaning Molly	Moaning Martha	Moaning Myrtle	Moaning Mary	Moaning Myrtle
For-Kids	Which character of the Harry Potter series of books opens the Chamber of Secrets?	Cho Chang	None of these	Draco Malfoy	Ginny Weasley	Ginny Weasley
For-Kids	What is the language of snakes, spoken by some of the characters in the Harry Potter books?	parseltongue	none of these	parsellanguage	parselspeak	parseltongue
For-Kids	The fictional Hogwarts School of Witchcraft and Wizardry is geographically located in which part of the United Kingdom?	Wales	Scotland	England	Northern Ireland	Scotland
For-Kids	How is the wizarding worlds newspaper, The Daily Prophet, delivered each morning in the Harry Potter novels?	Workers of the Postal Union 151	Owl post	United Parcel Service	Postal carriage	Owl post
For-Kids	According to the Harry Potter books, the Floo Network, or traveling using floo powder, means using what method of transportation?	Internet	Fireplaces	Toilets	Fedex	Fireplaces
For-Kids	Which of the following animals does NOT symbolize one of the four Hogwarts Houses, described in the Harry Potter series of books?	Eagle	Panda	Serpent	Lion	Panda
For-Kids	Hagrid, the keeper of the keys at Hogwarts in the Harry Potter books, lives in this building on the edge of the Forbidden Forest.	750 meter highrise, which is the tallest building in the wizarding world.	Wigwam	Wooden cabin	A miniature copy of the Tower of Piza	Wooden cabin
For-Kids	In what type of vehicle did Ron and Harry Potter fly to Hogwarts from London?	Ford Anglia	Apache helicopter	Boeing 767	Flying carpet	Ford Anglia
For-Kids	While looking for the Sorcerers Stone, Ron and Harry Potter must play a life-size version of this game.	Monopoly	Checkers	Chess	Scrabble	Chess
For-Kids	This flying machine was owned by Sirius Black and used by Hagrid in his first appearance on Privet Drive.	Hydroplane	Motorcycle	Lamborghini	Hot air balloon	Motorcycle
For-Kids	In the Harry Potter universe, a hippogriff is a hybrid of what two animals?	A hippopotamus and a vulture	An eagle and a lion	A hawk and a donkey	An eagle and a horse	An eagle and a horse
For-Kids	In the Harry Potter books, if a person is a parselmouth, then he or she is able to understand what?	Women	Snakes	Centaurs	Elfs	Snakes
For-Kids	What do the rings on a tree tell us?	how tall the tree is	how old the tree is	whether or not it is a fruit bearing tree	what type of tree it is	how old the tree is
For-Kids	The path in which electricity travels is called an electric circuit.	True	False			False
For-Kids	Seasons change because the Earth is getting closer and further from the sun.	True	False			False
For-Kids	Stars vanish during the day.	False	True			False
For-Kids	There are 4 basic conditions needed to produce an echo.	False	True			True
For-Kids	What are the names of the four children in the story The Lion, the Witch and the Wardrobe?	Peter, Annie, Alan, Lucy	Peter, Susan, Edmund, Sydney	Peter, Susan, Edmund, Lucy	Peter, Sally, Edward, Lucinda	Peter, Susan, Edmund, Lucy
For-Kids	Which character is the enemy of the four children in the movie The Chronicles of Narnia: The Lion, the Witch and the Wardrobe?	The Red Witch	The Evil Witch	The Terrible Witch of the West	The White Witch	The White Witch
For-Kids	In the movie The Lion, the Witch and the Wardrobe, Susan is the oldest of the four children.	True	False			False
For-Kids	In the movie The Lion, the Witch and the Wardrobe Edmund asked if the White Witch had what candy?	Turkish Delight	Laffy Taffy	Jolly Rancher	Turkish Joy	Turkish Delight
For-Kids	Is it true that in the movie The Lion, the Witch and the Wardrobe, Lucy discovered the wardrobe, while the children were playing hide and seek?	Yes	No			Yes
For-Kids	What was the colour of Susans eyes in the movie The Lion, the Witch and the Wardrobe?	green	brown	hazel	blue	blue
For-Kids	Is Peter the second of the Pevensie children to enter Narnia in the film The Lion, the Witch and the Wardrobe?	No	Yes			No
For-Kids	The action in the movie The Lion, the Witch and the Wardrobe begins in 1940 during a German bombing raid of London.	False	True			True
For-Kids	What is the name of the faun that Lucy meets in The Lion, the Witch and the Wardrobe?	Taurus	Tamus	Tumnus	Timus	Tumnus
For-Kids	The lion that the children meet in the end of the movie The Lion, the Witch and the Wardrobeis called Aslan.	True	False			True
For-Kids	Which of the following characters in the Harry Potter books is a poltergeist?	Moaning Myrthle	Peeves	Nearly-headless Nick	The Bloody Baron	Peeves
For-Kids	What is the name of the potion that grants good luck, mentioned in Harry Potter and the Half-Blood Prince?	Felix Felicis	Polyjuice Potion	none of these	Avada Kedava	Felix Felicis
For-Kids	Which of these characters kissed Harry after a lesson of DA in Harry Potter and the Order of the Phoenix?	Hermione	Cho	Ginny	Blaise	Cho
For-Kids	What group did Nearly-headless Nick never become a part of in Harry Potter and the Chamber of Secrets?	The Order of the Phoenix	The Headless Hunt	The Triwizard Cup	The DA	The Headless Hunt
For-Kids	Which of the following characters are described as trustworthy in Harry Potter and the Prisoner of Azkaban?	James Potter, Remus Lupin, Sirius Black	James Potter, Remus Lupin	James Potter, Sirius Black, Peter Pettigrew	James Potter only	James Potter, Remus Lupin, Sirius Black
For-Kids	According to the Harry Potter books, what is the full name of Dumbledore, the headmaster of Hogwarts School of Witchcraft and Wizardry?	Albus Percival Dumbledore	Albus Wulfric Dumbledore	Albus Percival Wulfric Brian Dumbledore	He never revealed his full name in the books	Albus Percival Wulfric Brian Dumbledore
For-Kids	Dumbledore was in contact with Sirius Black in Harry Potter and the Goblet of Fire.	True	False			True
For-Kids	In Harry Potter and the Half-Blood Prince, the half-blood prince tells Harry to do what to his potion?	Stir clockwise until the potion turns as clear as water	Add a counterclockwise stir after every seventh clockwise stir	Stir counterclockwise until the potion turns as clear as water	Add a clockwise stir after every seventh counterclockwise stir	Add a clockwise stir after every seventh counterclockwise stir
For-Kids	What kind of creature was Buckbeak from the book Harry Potter and the Prisoner of Azkaban?	Manticore	Unicorn	Hippogriff	Bird	Hippogriff
For-Kids	Who was the last person to talk to Harry at the end of Harry Potter and the Chamber of Secrets?	Dudley	Ron	Hermione	Ms. Weasley	Hermione
For-Kids	In the Harry Potter books, what is the name of Hagrids three-headed dog?	Fluffy	Norbert	Aragog	Fang	Fluffy
For-Kids	According to the Harry Potter books, who is Harrys godfather?	Sirius Black	Remus Lupin	Peter Pettigrew	James Potter	Sirius Black
For-Kids	In what book of the Harry Potter series does professor Trelawney get fired?	Harry Potter and the Philosophers Stone	Harry Potter and the Half-Blood Prince	Harry Potter and the Order of the Phoenix	She doesnt get fired in the books	Harry Potter and the Order of the Phoenix
For-Kids	In the Harry Potter books, what is Harrys classmate Hermiones full name?	Hermione Cassandra Granger	It was never mentioned.	Hermione James Dumbledore	Hermione Jean Granger	Hermione Jean Granger
For-Kids	In which movie did Hermione Granger say the following:	Harry Potter and the Prisoner of Azkaban	Harry Potter and the Goblet of Fire	Harry Potter and the Chamber of Secrets	Harry Potter and the Sorcerers Stone	Harry Potter and the Sorcerers Stone
For-Kids	What did Hermione Granger, a character from the Harry Potter series, think about the Firebolt?	that it was jinxed and was given to Harry by Sirius Black	that it was given to Harry by Dumbledore because he felt bad after Harrys broom was demolished by the Whomping Willow	that it was amazing and wanted to be the first to ride it after Harry	that it was jinxed and was given to Harry by Lucius Malfoy who was still angry about the loss of his House Elf	that it was jinxed and was given to Harry by Sirius Black
For-Kids	It is stated in the Harry Potter books that Hermione Grangers parents are teachers.	True	False			False
For-Kids	Was Hermione able to see the Thresals in Harry Potter and the Order of the Phoenix?	No	Yes			No
For-Kids	In the Harry Potter series, Hermiones full name is Hermione Denise Granger.	False	True			False
For-Kids	What is the wooden stick used to hit a baseball called?	Baseball Wand	Baseball Bat	Baseball Raquet	Baseball Club	Baseball Bat
For-Kids	What color is a major league baseball?	Green	White	Black	Blue	White
For-Kids	Should you wear a helmet while hitting a baseball?	Yes	No			Yes
For-Kids	What is it called when you hit a baseball out of the park?	Home Run	Stolen Base	Hat Trick	3 Pointer	Home Run
For-Kids	What do you wear on your hand when playing the field in baseball?	Baseball Helmet	Baseball Glove	Baseball Mittens	Baseball Shoes	Baseball Glove
For-Kids	In baseball, what is the name of the player who squats behind the hitter and catches the ball?	Catcher	Short Stop	Manager	Pitcher	Catcher
For-Kids	When you run the bases in baseball you should run from 3rd base to 1st base.	False	True			False
For-Kids	What is the player who throws the ball to the hitter called in baseball?	Coach	Catcher	Short Stop	Pitcher	Pitcher
For-Kids	Baseball is usually played indoors.	False	True			False
For-Kids	Casey has 2 ten dollar bills, 3 five dollar bills, and 4 one dollar bills. How much money does Casey have altogether?	$44	$35	$39	$37	$39
For-Kids	What would be next in this pattern:  XX, XXXX, XXXXXX, ________?	XXXXXXXX	XXXXXXX	XXXXXXXXX	XXXXXXXXXX	XXXXXXXX
For-Kids	Reeses Pieces cost $0.60. Nerds cost $0.35. Pepsi costs $0.90. Gum costs $0.45. I have $1.25, and want to spend all of my money. What should I buy?	Reeses Pieces, Nerds, and Gum	Pepsi and Gum	Pepsi and Nerds	Reeses Pieces and Gum	Pepsi and Nerds
For-Kids	Chad and Jason have a collection of comic books. Chad has 23 books. Together, Chad and Jason have a total of 59 books. How many books does Jason have?	26	35	36	82	36
For-Kids	Leah is making chocolate chip cookies. She has 6 groups of 5 chocolate chips each. If she adds one more group of 5 chocolate chips, how many chocolate chips will she have?	30	35	45	40	35
For-Kids	Stephanie has $0.85. She gives a quarter to Jennifer. In return, Jennifer gives Stephanie a dime. How much money does Stephanie have now?	$0.60	$0.65	$0.70	$0.75	$0.70
For-Kids	Mike has to be to school at 8:00 a.m. If it takes him 25 minutes to walk to school, what time should he leave?	7:35 a.m.	7:45 a.m.	8:25 a.m	7:25 a.m.	7:35 a.m.
For-Kids	The Chronicles of Narnia, written by C.S. Lewis, is a series of seven fantasy novels. Which of the following is not one of the books in this series?	Prince Caspian	The Boy and His Horse	The Lion, the Witch and the Wardrobe	The Voyage of the Dawn Treader	The Boy and His Horse
For-Kids	In The Voyage of the Dawn Treader, published in 1952, Edmund and Lucy Pevensie return to Narnia along with their younger cousin named what?	Caspian	Telmar	Eustace	Digory	Eustace
For-Kids	There comes a point when Peter, Susan, Edmund, and Lucy Pevensie are no longer allowed to visit Narnia because they are too old. So the lion calls their young cousin back to Narnia together with Jill, a fellow student of his. This happens in which book of The Chronicles of Narnia series?	The Last Battle	Prince Caspian	The Voyage of the Dawn Treader	The Silver Chair	The Silver Chair
For-Kids	Which of the Pevensie children is lured into teaming up with the White Witch in the novel The Lion, the Witch and the Wardrobe?	Lucy	Susan	Edmund	Peter	Edmund
For-Kids	In The Last Battle chronicles, which earned C.S. Lewis a Carnegie Medal, two children return to save Narnia from Shift who tricks the donkey Puzzle into impersonating the Great Lion. What kind of creature is Shift?	Ape	Centaur	Unicorn	Faun	Ape
For-Kids	What can Bungy the budgie do?	water ski	bungy jump	walk a tightrope	snow ski	water ski
For-Kids	Who sent Harry a letter in Chapter 2 telling him not to do any more magic, or to surrender his wand?	Hermione	Sirius Black	Arthur Weasley	Molly Weasley	Arthur Weasley
For-Kids	Cornelius Fudge thinks that who wants to be the Minister of Magic?	Sirius Black	Lucius Malfoy	Arthur Weasly	Albus Dumbledore	Albus Dumbledore
For-Kids	This person is Siriuss brother.	Regulus	Tom	Ronald	Remus	Regulus
For-Kids	Luna Lovegood was reading the Quippler on the Hogwarts Express.	False	True			False
For-Kids	What ward was Arthur Weasly in while at St Mungos?	Llewellyn	Corwin	Blaise	Diedre	Llewellyn
For-Kids	This is Professor Umbridges middle name.	Jane	Marie	Barbara	Mary	Jane
For-Kids	A giant chief is called this.	Urg	Gurg	Gurrl	Ugh	Gurg
For-Kids	Who had Neville Longbottom seen die?	his Grandmother	no one	his Grandfather	his parents	his Grandfather
For-Kids	Who did not go with Harry to the Ministry of Magic to rescue Black?	Cho	Neville	Luna	Ron	Cho
For-Kids	Josh and Parker star on this Nickelodeon show which takes place mostly at a fast food restaurant. What is the name of the show?	Mr. Fast Food	Mr. Meaty	Mr. Meat	Dr. Burger	Mr. Meaty
For-Kids	Which of these Nickelodeon animated shows stars a big headed kid who also has a very big brain?	Jimmy Neutron	Drake and Josh	Neutron, Boy Genius	The fairly odd parents	Jimmy Neutron
For-Kids	In the show Jimmy Neutron, Jimmy goes to Mars in search of a major power source and runs into some huge rock creatures living on Mars. What substance are these creatures vulnerable to?	Water	Fire	Air	Light	Water
For-Kids	Actor Drake Bell from the Nickelodeon show Drake and Josh founded a band named Drake 24/7 in real life.	False	True			True
For-Kids	In Neds Declassified School Survival Guide, who dares Moze to wear a frilly dress with flowers for 48 hours?	Ned Bigby	Simon Nelson Cook	Nobody dares her that	Billy Loomer	Nobody dares her that
For-Kids	Actress Miranda Cosgrove plays Megan in the hit Nickelodeon show Drake and Josh.	True	False			True
For-Kids	Complete this line from the classic childrens book Green Eggs and Ham:	A Lamb	Jean-Claude Van Damme	Sam	Bam-Bam	Sam
For-Kids	The book Green Eggs and Ham was first published in 1952.	True	False			False
For-Kids	Where did Green Eggs and Ham rank according to Publishers Weekly 2001 list of best selling childrens books of all-time?	Fourth	Second	First	Third	Fourth
For-Kids	Rev. Jesse Jackson once read Green Eggs and Ham aloud on the late Night show Saturday Night Live.	False	True			True
For-Kids	Complete this line from the book Green Eggs and Ham:	Dog with Chicken Pox	Bag of Rocks	Clock	Fox	Fox
For-Kids	The book Green Eggs and Ham contains only 50 different words.	True	False			True
For-Kids	What word is missing in this line from the book Green Eggs and Ham:	Line at the DMV	Jeep	Bucket of boiled beets	Car	Car
For-Kids	What should you wear on your head when you play American football?	Hat	Helmet	Wig	Shoe	Helmet
For-Kids	In American football, the player who throws the ball to the other players on the field is called what?	Quarterback	Running back	Kicker	Tight End	Quarterback
For-Kids	Which of these items is not used in an American football game?	Helmet	Stick	Padding	Football	Stick
For-Kids	What is the main method of scoring in American football?	Touchdown	Three Pointer	Home Run	Hat Trick	Touchdown
For-Kids	What is the professional team of Miami in American football called?	Patriots	Dolphins	Yankees	Jets	Dolphins
For-Kids	What do you call the grassy area on which an American football game is played?	Court	Rink	Diamond	Field	Field
For-Kids	What is the color of a traditional American football?	Brown and white	Green and yellow	Pink and purple	Blue and red	Brown and white
For-Kids	How many points is a touchdown worth in American football?	2	4	5	6	6
For-Kids	What is the shape of a traditional American football?	Rectangle	Square	Oval	Round	Oval
For-Kids	What do you call the man or woman who runs a football team and tells the players what to do?	Wide Receiver	Quarterback	Tight End	Coach	Coach
For-Kids	In what year did Disney release the film The Little Mermaid?	1889	1985	1989	1885	1989
For-Kids	What was the name of the housemaid that served dinner on Ariels first night in the palace in the movie The Little Mermaid?	Marianne	Vanessa	Janice	Carlotta	Carlotta
For-Kids	Ursula, one of the characters in the Disney movie The Little Mermaid, is a cecaelia sea witch.	True	False			True
For-Kids	What name did Ursula adopt while in disguise in the movie The Little Mermaid?	Matilda	Vanessa	Gertrude	Louise	Vanessa
For-Kids	Buddy Hackett provided the voice of Flounder in the movie The Little Mermaid.	False	True			False
For-Kids	The film The Little Mermaid grossed approximately $200,000,000.	True	False			True
For-Kids	The first line in the movie The Little Mermaid was Flounder, quit being such a guppy!.	False	True			False
For-Kids	When was the film The Little Mermaid released in Germany?	Nov. 18 1989	Nov. 29 1990	Nov. 15 1989	Nov. 15 1990	Nov. 29 1990
For-Kids	In the book Harry Potter and the Half-Blood Prince, when Harry went to his potions class the first time that year, there were 4 potions on Mr. Slughorns desk. What were they called?	Veritaserum, Felix felicis, Amortentia and Poly juice potion	Veritaserum, hurnslug, setumaniea and felkamena	Poly juice potion, majoina, conastance and cenputok	Draught of the living death, milliitinie, carnaogdhor and gononala	Veritaserum, Felix felicis, Amortentia and Poly juice potion
For-Kids	McLaggen, who was first introduced in Harry Potter and the Half Blood Prince hit Harry in the back of his head with a wooden bat.	False	True			True
For-Kids	Was Ron poisoned in the book Harry Potter and the Half-blood Prince?	Yes	No			Yes
For-Kids	In the book Harry Potter and the Half-Blood Prince, Harry almost killed Malfoy.	False	True			True
For-Kids	Is it true that Mrs. Arabella Figg, a character from the Harry Potter books, is a Squib?	Yes	No			Yes
For-Kids	In Harry Potter and the Half-Blood Prince, was the horcrux Dumbledore and Harry recovered fake?	Yes	No			Yes
For-Kids	Who went first into the barrier in the book Harry Potter and the Chamber of Secrets?	Ron	Fred and George	Percy	Harry	Percy
For-Kids	What was the name of the book which Ron gave Harry for Christmas in Harry Potter and the Chamber of Secrets?	Flying with the Cannons	Gold Stars - How do they do it?	Fantastic Beasts and Where to Find them	Quidditch through the ages	Flying with the Cannons
For-Kids	What did Dudley want Harry to pass him at breakfast in chapter 1 of Harry Potter and the Chamber of Secrets?	bacon	waffles	pancakes	eggs	bacon
